,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Issuance type,Flickr URL,Shelfmarks
1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216,British Library HMNTS 12626.cc.2.
2,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218,British Library HMNTS 12625.dd.1.
3,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472,British Library HMNTS 10369.bbb.15.
4,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480,British Library HMNTS 9007.d.28.
5,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481,British Library HMNTS 9006.ee.10.
6,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519,British Library HMNTS 12637.e.3.
7,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000667,British Library HMNTS 011652.g.73.
8,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874,British Library HMNTS 11645.bb.42.
9,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143,British Library HMNTS 11602.ee.10.(2.)
10,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001280,British Library HMNTS 1430.g.17.
12,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001905,British Library HMNTS 10136.g.22.
13,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001929,British Library HMNTS 10002.g.16-19.
